"","UNITID","CONTROL","HIGHDEG"
"318",113236,1,2
"319",113333,1,2
"320",113397,3,1
"321",113449,3,1
"322",113537,2,4
"323",113573,1,2
"324",113582,3,3
"325",113607,3,4
"326",113634,1,2
"327",113698,2,4
"328",113704,2,4
"329",113856,1,2
"330",113908,3,1
"331",113953,1,1
"332",113980,1,2
"333",114044,3,1
"334",114062,3,1
"335",114071,3,1
"336",114080,3,1
"337",114114,3,4
"338",114123,3,2
"339",114266,1,2
"340",114354,3,3
"341",114372,3,2
"342",114390,3,2
"343",114415,3,3
"344",114433,1,2
"345",114460,3,1
"346",114549,2,4
"347",114585,2,4
"348",114628,3,1
"349",114716,1,2
"350",114734,2,4
"351",114761,3,1
"352",114789,1,2
"353",114813,2,4
"354",114840,2,4
"355",114859,1,2
"356",114895,3,1
"357",114938,1,2
"358",114947,2,1
"359",115001,1,2
"360",115010,3,1
"361",115083,2,4
"362",115126,1,2
"363",115214,2,4
"364",115296,1,2
"365",115357,3,1
"366",115393,1,2
"367",115409,2,3
"368",115454,3,2
"369",115472,3,2
"370",115490,3,2
"371",115515,3,2
"372",115533,3,2
"373",115658,3,1
"374",115728,2,4
"375",115746,3,4
"376",115755,1,4
"377",115773,2,4
"378",115861,1,2
"379",115931,3,1
"380",116040,3,3
"381",116226,3,3
"382",116350,3,1
"383",116439,1,2
"384",116466,3,3
"385",116475,3,3
"386",116484,3,3
"387",116563,3,1
"388",116624,2,4
"389",116712,2,4
"390",116846,2,4
"391",117052,1,2
"392",117104,2,3
"393",117113,3,3
"394",117140,2,4
"395",117168,2,4
"396",117195,1,2
"397",117238,3,1
"398",117247,1,2
"399",117274,1,2
"400",117520,2,4
"401",117557,2,4
"402",117575,2,4
"403",117627,2,4
"404",117636,2,4
"405",117645,1,2
"406",117672,2,4
"407",117690,1,2
"408",117706,1,2
"409",117715,1,2
"410",117724,1,2
"411",117733,1,2
"412",117751,2,4
"413",117788,1,2
"414",117803,1,2
"415",117867,1,2
"416",117894,1,2
"417",117928,3,4
"418",117946,2,4
"419",117955,3,1
"420",118116,3,1
"421",118125,3,1
"422",118134,3,1
"423",118143,3,1
"424",118161,3,1
"425",118189,3,1
"426",118198,3,2
"427",118259,3,2
"428",118277,3,2
"429",118286,3,2
"430",118347,1,2
"431",118356,3,1
"432",118541,2,2
"433",118684,1,2
"434",118693,2,3
"435",118709,2,4
"436",118718,1,2
"437",118772,1,2
"438",118888,2,4
"439",118912,1,2
"440",118921,3,1
"441",118930,1,2
"442",118958,3,1
"443",118967,3,1
"444",118976,1,2
"445",118994,3,1
"446",119058,2,4
"447",119067,1,2
"448",119137,1,2
"449",119164,1,2
"450",119173,2,4
"451",119216,1,2
"452",119234,3,1
"453",119270,3,3
"454",119331,1,2
"455",119340,3,1
"456",119359,3,1
"457",119368,3,1
"458",119438,3,1
"459",119456,3,1
"460",119465,3,1
"461",119508,3,2
"462",119544,3,4
"463",119553,3,1
"464",119605,2,4
"465",119775,3,4
"466",119845,3,1
"467",119951,3,1
"468",120069,3,1
"469",120078,3,1
"470",120087,3,1
"471",120184,2,4
"472",120254,2,4
"473",120272,3,1
"474",120290,1,2
"475",120342,1,2
"476",120403,2,4
"477",120421,1,2
"478",120537,2,4
"479",120661,3,2
"480",120698,2,4
"481",120740,2,4
"482",120768,2,4
"483",120795,2,4
"484",120838,2,4
"485",120865,2,4
"486",120883,2,4
"487",120944,2,4
"488",120953,1,2
"489",120971,1,2
"490",121008,3,1
"491",121017,3,1
"492",121044,1,2
"493",121071,2,4
"494",121150,2,4
"495",121257,2,3
"496",121275,3,3
"497",121309,2,4
"498",121345,2,3
"499",121363,1,2
"500",121381,3,3
"501",121433,3,1
"502",121619,1,2
"503",121628,2,4
"504",121637,3,1
"505",121691,2,4
"506",121707,1,2
"507",121859,3,1
"508",121868,3,1
"509",121877,3,1
"510",121886,1,2
"511",121901,1,2
"512",121983,3,4
"513",121992,3,1
"514",122117,2,4
"515",122180,1,2
"516",122205,1,2
"517",122296,2,4
"518",122339,1,2
"519",122366,3,2
"520",122375,1,2
"521",122384,1,2
"522",122409,1,4
"523",122436,2,4
"524",122454,2,4
"525",122506,2,4
"526",122597,1,4
"527",122603,2,4
"528",122612,2,4
"529",122649,2,4
"530",122658,1,2
"531",122685,3,2
"532",122694,3,2
"533",122728,2,3
"534",122746,1,2
"535",122755,1,4
"536",122791,1,2
"537",122834,3,2
"538",122843,3,4
"539",122852,3,2
"540",122889,1,2
"541",122931,2,4
"542",122977,1,2
"543",123013,1,2
"544",123095,2,4
"545",123165,2,4
"546",123208,3,2
"547",123217,1,2
"548",123280,2,4
"549",123299,1,2
"550",123341,1,2
"551",123350,3,1
"552",123396,3,1
"553",123448,2,4
"554",123457,2,4
"555",123484,1,2
"556",123493,1,1
"557",123509,1,2
"558",123527,1,2
"559",123554,2,4
"560",123563,1,2
"561",123572,1,4
"562",123581,3,1
"563",123633,2,4
"564",123642,3,2
"565",123651,2,4
"566",123679,3,2
"567",123800,1,2
"568",123855,2,4
"569",123916,2,4
"570",123943,2,4
"571",123952,2,4
"572",123961,2,4
"573",123970,2,4
"574",124113,1,2
"575",124283,2,4
"576",124292,2,3
"577",124344,3,1
"578",124487,2,3
"579",124681,3,2
"580",124706,3,2
"581",124779,3,1
"582",124937,3,2
"583",125028,1,2
"584",125082,3,1
"585",125091,1,2
"586",125170,1,2
"587",125231,3,4
"588",125301,1,1
"589",125462,1,2
"590",125471,1,2
"591",125480,2,4
"592",125499,1,2
"593",125532,3,2
"594",125718,2,4
"595",125727,2,4
"596",125763,2,4
"597",125897,2,4
"598",126012,2,4
"599",126030,3,4
"600",126049,2,4
"601",126076,2,3
"602",126119,1,2
"603",126164,3,1
"604",126182,1,4
"605",126207,1,2
"606",126289,1,2
"607",126359,3,2
"608",126401,3,2
"609",126410,2,2
"610",126562,1,4
"611",126580,1,4
"612",126605,3,2
"613",126614,1,4
"614",126669,2,4
"615",126678,2,4
"616",126687,3,2
"617",126702,3,3
"618",126711,1,2
"619",126748,1,2
"620",126775,1,4
"621",126784,3,2
"622",126818,1,4
"623",126827,3,4
"624",126854,3,1
"625",126863,1,2
"626",126872,3,3
"627",126915,1,1
"628",126924,3,2
"629",126942,1,2
"630",126951,3,2
"631",126979,2,4
"632",127024,3,3
"633",127060,2,4
"634",127158,1,1
"635",127185,1,3
"636",127200,1,2
"637",127219,3,1
"638",127228,3,1
"639",127273,2,4
"640",127316,3,1
"641",127389,1,2
"642",127556,1,4
"643",127565,1,3
"644",127617,1,2
"645",127653,2,4
"646",127680,3,3
"647",127699,3,3
"648",127714,2,3
"649",127732,1,2
"650",127741,1,4
"651",127778,1,2
"652",127787,3,2
"653",127820,1,2
"654",127839,3,2
"655",127884,1,2
"656",127909,1,2
"657",127918,2,4
"658",127945,3,3
"659",127954,2,1
"660",128106,1,4
"661",128151,1,1
"662",128179,3,2
"663",128188,3,2
"664",128258,1,2
"665",128328,1,3
"666",128337,3,1
"667",128391,1,3
"668",128425,2,4
"669",128498,2,4
"670",128540,3,1
"671",128577,1,2
"672",128586,2,1
"673",128674,3,1
"674",128683,3,3
"675",128726,2,1
"676",128744,2,4
"677",128762,3,1
"678",128771,1,4
"679",128780,1,3
"680",128896,3,1
"681",128902,2,4
"682",128957,3,1
"683",129002,3,1
"684",129020,1,4
"685",129154,2,2
"686",129181,3,1
"687",129215,1,4
"688",129242,2,4
"689",129349,3,1
"690",129367,1,2
"691",129428,2,4
